epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.374257632824528,2.6569939824837814,0.5297160033340478,1.9136295205918117
2,0.7065296947133436,1.248452366295842,0.621113184079602,1.4440530861046776
3,0.8593397115075603,0.6068670537271345,0.6491397181108817,1.3478301015881757
4,0.9340835425306294,0.29881176255278785,0.6657027364963323,1.3011638427996517
5,0.9671005855689533,0.15988298669607007,0.6665215590106908,1.3296048496270654
6,0.9813754705144291,0.09691724609677099,0.6688121892326507,1.3398076673200474
7,0.9860806148055207,0.06702410241348232,0.6650808459490686,1.4100117818336582
8,0.9886998118391002,0.054636269890781554,0.6728752074550041,1.399990602141589
9,0.9907439356316886,0.044302648609069406,0.6795605308380887,1.3921019166189046
10,0.9921084275209769,0.03824471548483608,0.6728544777898646,1.4003479844005546
