epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.4700177750144729,2.289930656533618,0.6576492537313433,1.4006576464692158
2,0.8169463614149105,0.8026213668370935,0.7562189054726368,0.937947551446471
3,0.9386684442104928,0.2855589077287965,0.7683665008464856,0.908527011904328
4,0.9781184651172595,0.11135210800060588,0.7798714759708637,0.8775503150516407
5,0.9887860727728983,0.058723487608471285,0.7796019901387135,0.8789047977761991
6,0.9940793601003765,0.03345868514892803,0.7833126036830209,0.8854974965878822
7,0.9956869510664994,0.024919791879200164,0.7833540630874349,0.8864264049548748
8,0.995569322459222,0.02387535167256793,0.7765132670675344,0.938582613560619
9,0.9956477415307403,0.020270628521745906,0.7749170812949613,0.9512167244371194
10,0.9978826850690088,0.012594038138789483,0.7831778607854796,0.9243457209867939
