epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.48287588881429194,2.263185022541391,0.6752176616915423,1.3616192871658364
2,0.8216671895053486,0.7759557220724924,0.7744299336823065,0.8963272555300327
3,0.9424743831830761,0.2752554171077131,0.7936567165958348,0.8116937796793767
4,0.979689460476788,0.10760253832127474,0.7958022391618188,0.7896997970737406
5,0.9915307402760352,0.050786936983999,0.7897077115317482,0.8230132683914674
6,0.9944714554579673,0.032911494404949254,0.7888577945196806,0.8631153238244559
7,0.9952556461731493,0.02446933034042053,0.7946310117470091,0.879926377521661
8,0.9965495608531995,0.018132546678222856,0.7952114429639939,0.8705340630481418
9,0.9967063989962359,0.016820637597597277,0.7978752074550041,0.861565983103616
10,0.9966671894604768,0.015756609981676266,0.7811256220091635,0.9156753590784559
