epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.25371967800139184,3.092825297579412,0.36100746268656714,2.57140207053417
2,0.4214972815145662,2.2663537344639395,0.4326803482587065,2.1935065811249745
3,0.4721716855520586,1.998029071085127,0.45697553900640403,2.0737210660431518
4,0.5166745086386333,1.8102600045754589,0.4703254560703662,2.025734686139804
5,0.5414131116986723,1.7095299022858834,0.4847636815920398,2.0039987303131257
6,0.5564172940616177,1.6270662248508545,0.48756218905472637,1.9350650548490125
7,0.5783903179234513,1.5316512203276382,0.49459991711585677,1.9123207722878575
8,0.5896382267531965,1.4913094196295649,0.5009742952253095,1.8863352895227832
9,0.6031315349874413,1.444836929197443,0.5085717247270826,1.873559923091931
10,0.6150512338582066,1.3908491057613712,0.5095460199894597,1.8577126022150268
11,0.6197511502161828,1.3634981794219694,0.5075041459715781,1.9006101106900481
12,0.6156393768945931,1.3688763341161807,0.509836235523817,1.897441200726661
13,0.6293522584692597,1.3169545242597946,0.5095252902501851,1.8535578760193354
14,0.6349252405549531,1.2858134564222625,0.5218283582979174,1.8289951159438091
15,0.6469573400250941,1.2551812347085443,0.5120128524392399,1.9155814500145651
16,0.6542999791530624,1.2187573212003768,0.511701907165608,1.874501500037772
17,0.6619196989605088,1.1919469631451136,0.5104581260710807,1.8676952271170877
18,0.6664915307701905,1.1727298066636997,0.5191645937327721,1.8366701654830382
19,0.6694296320229581,1.1528882466191182,0.5180555555728538,1.848176953433758
20,0.6789261815389396,1.1220954421772114,0.5169879768173493,1.8521709434354483
21,0.6365694270528843,1.2778426544878683,0.5202736319297582,1.8324640314673903
22,0.6552017984755216,1.2207180521868104,0.5146558872651105,1.8591058882166498
23,0.6597919280885005,1.197938563757888,0.5202529021904836,1.8397275171617964
